This file contains robot (x, y, z) position data for equipment on the robot bed.

Format: position name | x | y | z

Position names like <NAME># move only the printer bed and the robot head (Z is None).  
Position names like <NAME>_Z# move the robot head vertically and only have a Z value (X and Y are None).

Created by: David Milsted
Last updated: 2025-05-12
---
ROTATOR_0,120,111.5,None
ROTATOR_Z1,None,None,66.5
ROTATOR_ENGAGE,134,111.5,66.5
CHARGER_SEM,60,48,None
CHARGER_TEM,8,42,None
LASER_SEM,165,145,None
LASER_SEM_Z1,None,None,62
LASER_TEM,117,141,None
LASER_TEM_Z1,None,None,66
GRIPPER_ROTATOR_0,110,131,None
GRIPPER_ROTATOR_Z1,None,None,51
GRIPPER_ROTATOR_DISENGAGE,95,None,None
TEM_GRID_MANUAL_MODE,136,37,None
